config	chain	metric	metric_label	raw_value	raw_count	denominator	frames	lefs_per_frame	chain_length	num_chains	gene_body_sites_per_chain	ctcf_boundary_sites_per_chain	internal_boundaries_per_chain	baseline_config1_mean	fold_vs_config1_mean
config2	6	one_ctcf_leg_stripe	One CTCF-leg stripe	0.66605	79926	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.1766333910908215
config2	6	boundary_crossing_stripe	Boundary-crossing stripe	0.08548333333333333	10258	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	1.4063421121180133
config2	7	boundary_pass_event	Boundary pass events	0.0020584362551460907	247	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	1.0135412392285597
config2	7	cross_tad_occupancy	Cross-boundary occupancy	0.5522583333333333	66271	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.1662173386642638
config2	7	crossed_boundaries	Boundary-counted crossing	0.5616333333333333	67396	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.1645861844924592
config2	7	multi_tad_crossing	Multi-TAD crossing	0.009375	1125	120000	20000	208	5000	10	3113	12	6	0.0083	1.1295180722891567
config2	7	one_ctcf_leg_stripe	One CTCF-leg stripe	0.6948333333333333	83380	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.2274815723188035
config2	7	boundary_crossing_stripe	Boundary-crossing stripe	0.056325	6759	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	0.9266393386435613
config2	8	boundary_pass_event	Boundary pass events	0.002391786255979466	287	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	1.1776774723020107
config2	8	cross_tad_occupancy	Cross-boundary occupancy	0.5748	68976	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	1.2138191237751998
config2	8	crossed_boundaries	Boundary-counted crossing	0.6292583333333334	75511	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	1.3048113742241392
config2	8	multi_tad_crossing	Multi-TAD crossing	0.05445833333333333	6535	120000	20000	208	5000	10	3113	12	6	0.0083	6.561244979919678
config2	8	one_ctcf_leg_stripe	One CTCF-leg stripe	0.6525166666666666	78302	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.1527256185620887
config2	8	boundary_crossing_stripe	Boundary-crossing stripe	0.13443333333333332	16132	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	2.2116505120576906
config2	9	boundary_pass_event	Boundary pass events	0.0015667450039168625	188	119994	20000	208	5000	10	3113	12	6	0.0020309348800773373	0.7714402954452195
config2	9	cross_tad_occupancy	Cross-boundary occupancy	0.4176916666666667	50123	120000	20000	208	5000	10	3113	12	6	0.47354666666666667	0.882049639599054
config2	9	crossed_boundaries	Boundary-counted crossing	0.433525	52023	120000	20000	208	5000	10	3113	12	6	0.48225999999999997	0.8989445527308921
config2	9	multi_tad_crossing	Multi-TAD crossing	0.015833333333333335	1900	120000	20000	208	5000	10	3113	12	6	0.0083	1.9076305220883536
config2	9	one_ctcf_leg_stripe	One CTCF-leg stripe	0.7590583333333333	91087	120000	20000	208	5000	10	3113	12	6	0.5660641666666667	1.3409404410866257
config2	9	boundary_crossing_stripe	Boundary-crossing stripe	0.10045	12054	120000	20000	208	5000	10	3113	12	6	0.06078416666666666	1.6525685142786637
