label	boundary_rel	boundary	C_bnd	C_flank	depth
config2	2123	22123	0.9022486772486773	1.1168781415343916	0.19216909732950063
config2	2859	22859	0.8441137566137566	1.0404560185185185	0.1887078919340859
config2	3622	23622	0.836739417989418	1.0430295965608465	0.19777979383482844
config2	4900	24900	0.6889880952380952	0.830338458994709	0.1702322254562877
config2	6142	26142	0.9564484126984127	1.071064484126984	0.10701136404685657
config2	6833	26833	0.867989417989418	1.0905267857142857	0.20406410061638944
config2	8032	28032	1.055952380952381	1.1228616071428572	0.05958813246872697
config2	8375	28375	0.8465277777777778	1.0866008597883599	0.22093952885086227
config2	8805	28805	1.0192460317460317	1.1911329365079366	0.14430539152567515
config2	9169	29169	1.0108465608465609	1.1974613095238096	0.1558419860358237
config2	1425	31425	0.9204365079365079	1.0714837962962962	0.1409702030790388
config2	2123	32123	0.9000330687830688	1.073167328042328	0.16133016234764688
config2	2859	32859	0.7812169312169313	1.0438558201058201	0.2516045643758197
config2	3622	33622	0.9895833333333334	1.0757372685185187	0.08008826848941898
config2	4900	34900	0.7816137566137566	0.9189684193121694	0.14946614030678027
config2	6142	36142	0.8298941798941799	1.0426613756613756	0.20406164526065265
config2	6833	36833	0.895436507936508	0.9410125661375662	0.04843299637126792
config2	8032	38032	0.8873346560846561	1.1674945436507937	0.23996676394740868
config2	8375	38375	0.9272817460317461	1.1398890542328042	0.18651579064784707
config2	8805	38805	0.8745039682539683	0.9817476851851853	0.10923755517792522
config2	9169	39169	1.0019510582010582	1.0936378968253968	0.08383655951433869
config3	1425	1425	0.8052579365079365	1.1587944775132275	0.3050899429241156
config3	2123	2123	0.9436177248677249	1.2405077711640213	0.23932945298497554
config3	2859	2859	0.7407407407407407	0.9594578373015872	0.22795904943147277
config3	3622	3622	0.6444113756613756	0.7593766534391534	0.15139427483990933
config3	4900	4900	0.683399470899471	0.9808125	0.3032312792715519
config3	6142	6142	0.888425925925926	1.2400747354497355	0.28357065866379233
config3	6833	6833	1.0073743386243386	1.2621908068783068	0.20188426889607045
config3	8032	8032	0.8946097883597883	1.1807671957671957	0.24234871059529942
config3	8375	8375	0.9844907407407407	1.167232638888889	0.15655996247851992
config3	8805	8805	0.8327380952380953	1.184439484126984	0.2969348739231854
config3	9169	9169	1.1549603174603174	1.370673611111111	0.15737757836887933
config3	1425	11425	0.966931216931217	1.2529918981481483	0.2283020996701678
config3	2123	12123	0.9058531746031746	1.0504950396825397	0.1376892413724066
config3	2859	12859	1.0225198412698413	1.1768707010582011	0.1311536260096992
config3	3622	13622	0.7787367724867725	0.9683983134920635	0.19585075517259803
config3	4900	14900	0.7831018518518519	1.00251207010582	0.21886042552166818
config3	6142	16142	0.8463293650793651	1.0292739748677249	0.17774141215595252
config3	6833	16833	0.8162367724867725	1.0109925595238096	0.19263820015527075
config3	8032	18032	0.828968253968254	1.14776917989418	0.27775700159096295
config3	8375	18375	0.954728835978836	1.2298707010582008	0.22371609051474137
config3	8805	18805	0.8065476190476191	1.2494052579365078	0.35445475843466784
config3	9169	19169	1.02635582010582	1.2111656746031747	0.15258841822602479
config3	1425	21425	0.8422949735449735	1.1630426587301588	0.275783250749707
config3	2123	22123	0.8087962962962963	1.206648974867725	0.329716998777579
config3	2859	22859	0.7780092592592592	1.0023404431216931	0.2238073754300245
config3	3622	23622	0.7900462962962963	0.9935570436507938	0.20483046107418623
config3	4900	24900	0.828968253968254	1.0070626653439154	0.17684541141721458
config3	6142	26142	0.8479497354497354	1.1316104497354498	0.2506699318232959
config3	6833	26833	0.9721230158730159	1.3028597883597883	0.2538544634209238
config3	8032	28032	1.0346230158730159	1.1609199735449736	0.10879040808153087
config3	8375	28375	0.8465608465608465	1.2356058201058202	0.3148617198255468
config3	8805	28805	1.075925925925926	1.2365166997354498	0.12987351795886126
config3	9169	29169	0.796494708994709	1.0972680224867724	0.27411107161440057
config3	1425	31425	0.8081679894179894	1.0595970568783069	0.23728743471698197
config3	2123	32123	0.8705357142857143	1.085926917989418	0.19834778946496526
config3	2859	32859	0.888723544973545	1.0275671296296296	0.13511874859808778
config3	3622	33622	0.7889880952380952	1.0829753637566137	0.2714625635607615
config3	4900	34900	0.7780753968253968	0.9785376984126983	0.20485904826403173
